小区名称,纬度,经度,单价(元/㎡),总价,建筑面积(㎡),户型,挂牌天数,月租金,近期成交价,去年同期价
东西阳光3,30.620417,114.129147,8871,65.72,74.07,2室1厅,131,628,9087,9112
光谷家园1,30.483601,114.407963,20016,214.54,107.18,3室2厅,37,8754,20302,18758
街道丽舍2,30.534941,114.359928,17647,164.7,93.33,2室2厅,106,5565,17865,16819
沌口春天6,30.482996,114.163297,9523,123.76,129.95,3室2厅,189,2768,9474,9388
武广丽舍3,30.588429,114.2699,24613,233.58,94.9,2室2厅,94,8586,24586,21674
楚河花园14,30.547581,114.338964,28012,394.84,140.95,4室2厅,262,20747,27114,25205
南湖公寓17,30.494254,114.332677,10385,69.62,67.04,2室1厅,20,2364,10497,9583
江夏春天5,30.35113,114.321294,8014,64.96,81.05,2室2厅,358,1153,8236,7583
江夏山庄15,30.350177,114.320064,9115,97.75,107.23,3室2厅,220,740,8565,9045
盘龙名邸12,30.707786,114.23724,6642,53.69,80.83,2室2厅,271,1022,6651,6377
中南广场3,30.47902,114.37253,15435,172.17,111.55,3室2厅,7,6569,15608,13482
江汉国际12,30.58474,114.283554,19633,184.31,93.87,2室2厅,23,8165,19359,18584
江汉国际19,30.579806,114.283391,19883,217.9,109.59,3室1厅,90,9472,19304,17599
武昌府邸19,30.530664,114.319075,16183,141.78,87.61,2室2厅,0,3099,16154,16365
武昌华庭13,30.52829,114.319565,13935,116.38,83.51,2室2厅,25,3834,14554,13389
中南翠湖4,30.48496,114.368626,16625,142.67,85.81,2室2厅,192,3855,16372,16168
白沙华庭1,30.480415,114.291526,13172,126.61,96.11,3室1厅,429,1690,13406,12555
关山银座4,30.506204,114.39892,19169,181.71,94.79,3室1厅,23,5322,18290,18306
中南华府2,30.477662,114.367514,13843,128.58,92.88,2室2厅,26,4375,14088,13013
光谷里9,30.479542,114.407056,14263,97.41,68.3,2室1厅,10,4079,14595,13514
青山府邸17,30.631928,114.382433,9660,148.67,153.9,4室2厅,19,1682,9552,9602
青山华府13,30.6264,114.379588,10710,82.91,77.41,2室1厅,121,1958,10994,10377
中南里9,30.481818,114.367208,16897,138.64,82.05,2室1厅,250,2927,16570,16635
南湖里7,30.490061,114.329086,14380,125.97,87.6,2室2厅,1,2821,14156,13387
白沙银座2,30.481085,114.295178,9550,112.96,118.28,3室2厅,369,2920,9908,9165
金融广场8,30.452143,114.385445,14462,99.02,68.46,2室1厅,26,2768,14114,13006
金融府邸17,30.453405,114.390213,11780,101.08,85.8,2室2厅,46,3021,11841,10437
武昌花园11,30.529214,114.321777,15680,147.41,94.01,2室2厅,170,2892,16029,14938
武广花园11,30.586543,114.26966,22707,193.86,85.38,2室2厅,7,9205,23576,21325
南湖翠湖9,30.493486,114.330106,14744,89.25,60.53,1室1厅,27,2341,14178,14220
关山苑1,30.503717,114.397581,19843,210.42,106.04,3室1厅,203,9308,19664,18999
光谷新城12,30.481941,114.407922,17770,153.45,86.35,2室2厅,45,5265,18211,16664
关山雅苑4,30.506648,114.397365,18792,208.31,110.84,3室2厅,14,8270,19125,16669
汉口小区1,30.618236,114.250782,20001,361.79,180.88,5室3厅,46,10062,20015,19854
盘龙银座12,30.71038,114.241921,7771,70.14,90.25,2室2厅,26,1291,7625,7182
金融春天1,30.453806,114.38587,14919,143.94,96.47,3室1厅,96,5301,15138,13851
汉口阳光3,30.621759,114.252447,15245,139.56,91.54,3室1厅,18,5556,15025,14207
武广丽舍4,30.591293,114.26096,23273,216.21,92.9,2室2厅,24,8361,23504,22512
四新花园10,30.519422,114.263807,12719,86.59,68.08,2室1厅,179,2600,12449,12412
街道雅苑13,30.531888,114.359545,22793,243.83,106.97,3室1厅,50,7570,22415,20975
光谷阳光13,30.482585,114.409043,20974,322.87,153.93,4室2厅,124,14189,20234,17881
武广小区10,30.589408,114.258525,28099,434.6,154.67,4室2厅,51,17779,28500,26520
钟家春天9,30.54993,114.267822,15639,124.05,79.32,2室1厅,425,3436,15600,14416
沌口里3,30.484526,114.157326,9831,126.73,128.9,3室2厅,86,2331,9650,8927
金融公寓13,30.452989,114.389662,15117,185.22,122.52,3室2厅,50,6824,14889,14100
江汉华庭12,30.581342,114.28205,26907,423.73,157.48,4室2厅,14,20049,25761,25413
洪山公寓14,30.543703,114.326423,22525,312.39,138.68,4室2厅,52,10644,21974,21109
白沙小区12,30.482076,114.288206,11356,122.58,107.94,3室1厅,124,2196,11600,10925
东西小区10,30.624563,114.130793,8101,103.34,127.56,3室2厅,50,1472,8116,7589
徐东里16,30.576944,114.351192,15567,109.09,70.08,2室1厅,2,4644,15098,13536
江汉春天11,30.5766,114.283541,24328,207.79,85.41,2室2厅,123,10747,23437,22060
洪山广场5,30.546678,114.329016,21735,158.07,72.72,2室1厅,193,6983,20883,19471
武广雅苑10,30.592681,114.260467,24325,283.51,116.55,3室2厅,72,12089,24269,22836
后湖家园13,30.649381,114.267534,13013,106.65,81.95,2室2厅,12,2318,13426,12470
金融丽舍15,30.456047,114.388765,14173,177.9,125.51,3室2厅,17,4809,14290,13660
钟家公寓7,30.551219,114.266482,16945,154.25,91.03,3室1厅,36,2631,16625,16628
金融公寓16,30.457521,114.382196,14847,111.29,74.95,2室1厅,34,3770,14239,13368
中南雅苑15,30.483934,114.372572,14428,118.68,82.26,2室2厅,60,3006,14313,13755
街道国际7,30.529203,114.364833,18978,178.48,94.04,3室1厅,168,5519,18378,18322
街道苑7,30.532456,114.362132,17936,193.71,108.0,3室1厅,14,7758,17382,16698
武昌里14,30.527547,114.321056,13406,133.99,99.94,3室1厅,206,2259,13228,12970
盘龙新城8,30.705558,114.24268,7206,61.44,85.26,2室2厅,2,500,7147,7285
洪山家园18,30.546745,114.326545,23843,229.29,96.17,3室1厅,68,7695,23553,20566
盘龙华庭8,30.710481,114.242858,6267,58.57,93.44,3室1厅,227,651,6420,6037
武广金座14,30.591246,114.268041,20839,321.33,154.19,4室2厅,22,10955,19851,18964
洪山府邸12,30.545725,114.330482,24230,314.32,129.72,3室2厅,66,12559,22541,23167
关山中心7,30.503861,114.393213,18578,123.75,66.61,2室1厅,19,4391,19517,17157
江夏新城13,30.347672,114.321079,7807,85.54,109.56,3室2厅,118,1229,8098,7761
钟家中心10,30.548734,114.263177,16085,134.59,83.67,2室2厅,106,3388,16945,15090
盘龙名邸12,30.708988,114.240565,8733,74.5,85.3,2室2厅,80,1487,8708,8228
武广府邸16,30.586944,114.261951,21557,217.94,101.1,3室1厅,61,10518,22008,20520
后湖中心17,30.650053,114.264643,12136,151.68,124.98,3室2厅,70,2849,12213,11842
后湖里5,30.650776,114.273606,12040,109.38,90.85,2室2厅,20,2415,12459,11388
东西苑5,30.620176,114.12926,9661,87.01,90.05,2室2厅,275,1291,9455,8743
武昌里18,30.528841,114.321865,12974,113.73,87.65,2室2厅,70,2162,12759,12309
金融阳光16,30.451539,114.38448,14510,188.53,129.93,3室2厅,95,5288,14743,13446
关山华庭9,30.501212,114.396153,19667,194.14,98.71,3室1厅,2,8941,20099,18449
金融春天7,30.458076,114.385994,15664,177.02,113.01,3室2厅,158,7741,15323,14900
白沙中心8,30.478808,114.290814,11424,106.32,93.06,3室1厅,256,2058,12098,11382
武广雅苑7,30.590908,114.263034,26184,272.7,104.14,3室1厅,24,12813,26565,24114
武昌苑15,30.530867,114.323134,13751,137.44,99.95,3室1厅,192,3065,14151,13818
武昌阳光15,30.526521,114.321686,13338,88.56,66.39,2室1厅,6,3048,13535,12079
南湖丽舍10,30.492941,114.326579,12555,154.96,123.42,3室2厅,46,4386,13472,12975
青山广场19,30.629589,114.380362,13708,56.14,40.95,1室1厅,81,883,13034,14375
光谷春天4,30.48186,114.410633,19839,202.73,102.19,3室1厅,55,7488,19284,19601
楚河公寓13,30.553304,114.339165,22990,172.67,75.11,2室1厅,37,7908,22690,21246
汉口山庄11,30.620196,114.250607,19708,199.54,101.25,3室1厅,33,6678,19541,18369
关山金座5,30.508791,114.395018,21943,205.34,93.58,3室1厅,39,9432,20834,19915
徐东春天1,30.576696,114.352288,16007,155.46,97.12,3室1厅,10,5297,15833,15105
沌口雅苑4,30.48275,114.16098,10492,88.87,84.7,2室2厅,78,2273,10870,9804
中南里1,30.478149,114.370583,17763,84.27,47.44,1室1厅,32,1817,17433,16779
青山府邸7,30.630622,114.375644,10129,121.26,119.71,3室2厅,30,1873,10062,9511
徐东阳光5,30.57709,114.348701,17693,150.6,85.12,2室2厅,10,5523,17848,15448
白沙雅苑6,30.485973,114.291965,10707,150.62,140.67,4室2厅,11,1686,10162,9751
街道国际5,30.530536,114.359648,24979,290.68,116.37,3室2厅,98,9406,25096,23389
南湖春天17,30.494868,114.332854,12509,128.63,102.83,3室1厅,66,3252,12849,12237
江夏广场8,30.352234,114.31737,6689,64.1,95.81,3室1厅,70,950,6683,6779
武广国际14,30.590352,114.264317,25248,175.97,69.69,2室1厅,15,8759,24516,23321
青山苑8,30.634873,114.375494,9670,91.92,95.05,3室1厅,37,1737,9548,8968
白沙名邸7,30.478836,114.288784,11955,102.14,85.43,2室2厅,274,1943,12007,11817
江夏花园9,30.346632,114.318569,7553,50.48,66.83,2室1厅,15,632,7636,8187
楚河山庄1,30.550796,114.335286,23941,208.21,86.97,2室2厅,163,9121,24240,21474
中南翠湖4,30.483774,114.377812,16689,172.05,103.09,3室1厅,206,3815,17448,15089
楚河家园16,30.552569,114.339476,29089,297.73,102.35,3室1厅,4,14348,29728,26794
东西新城18,30.622283,114.125578,7940,47.8,60.19,1室1厅,13,863,7925,8006
江夏银座6,30.349449,114.321227,8672,82.69,95.35,3室1厅,366,614,8822,8798
白沙新城12,30.477634,114.287066,10446,71.17,68.13,2室1厅,105,1124,10318,9594
光谷华庭11,30.479911,114.412743,17644,145.78,82.62,2室1厅,15,5392,17719,16018
后湖华庭14,30.647517,114.265191,12420,136.6,109.98,3室1厅,14,4260,12707,12466
关山公寓13,30.507875,114.393885,20284,264.29,130.29,4室2厅,2,11287,18791,18415
关山中心19,30.499776,114.397406,18220,236.19,129.63,3室2厅,3,10050,18619,17271
四新公寓17,30.519268,114.260058,15163,128.69,84.87,2室2厅,206,1633,15462,15619
青山春天19,30.628354,114.378148,8607,81.48,94.67,3室1厅,41,1745,8868,8710
后湖金座2,30.65241,114.272973,13572,166.41,122.61,3室2厅,6,4181,13422,13300
白沙公寓15,30.482698,114.290162,10291,157.57,153.1,4室2厅,263,1095,10598,9868
江汉新城19,30.581352,114.279097,23135,218.42,94.41,3室1厅,4,9766,24129,20992
关山丽舍8,30.509337,114.396359,18131,192.24,106.03,3室2厅,13,8303,18421,17638
钟家雅苑2,30.546256,114.270899,15505,140.51,90.62,2室2厅,70,3172,16038,15057
光谷山庄17,30.482321,114.408522,16492,125.76,76.25,2室1厅,34,4471,16071,15204
沌口公寓8,30.479233,114.156593,8235,117.15,142.25,4室2厅,1,1987,7740,8056
盘龙雅苑1,30.712506,114.241937,7459,95.79,128.41,3室2厅,376,1643,7180,7779
光谷阳光13,30.482429,114.403578,15651,148.81,95.07,3室1厅,114,6382,15772,15306
金融银座4,30.450864,114.386207,14993,137.82,91.92,3室1厅,30,3990,15019,13422
武昌春天5,30.532686,114.318491,13112,122.13,93.14,2室2厅,57,2279,13144,13412
关山国际4,30.510143,114.396165,19065,266.71,139.89,4室2厅,6,9915,18661,18361
江夏府邸17,30.349442,114.321121,10173,99.29,97.6,3室1厅,146,1951,9942,10298
南湖公寓7,30.494603,114.326014,13014,96.46,74.12,2室1厅,47,2229,12433,12203
江汉名邸16,30.577854,114.282826,25802,328.24,127.22,3室2厅,46,15966,26280,24189
汉口家园1,30.626292,114.253373,16075,207.04,128.79,3室2厅,42,4990,16488,14049
盘龙阳光13,30.716663,114.241176,7547,79.76,105.68,3室1厅,27,1309,7323,7412
东西花园16,30.618353,114.128158,8505,76.62,90.08,2室2厅,105,1053,8624,8924
东西阳光3,30.620641,114.12845,10039,89.02,88.67,2室2厅,142,742,9852,9295
后湖花园18,30.647932,114.270918,13141,113.4,86.29,2室2厅,60,3394,13378,12512
金融银座15,30.457115,114.380646,15761,146.44,92.91,2室2厅,61,3982,15229,15167
后湖华府4,30.64575,114.27291,13379,112.25,83.9,2室2厅,145,2218,13294,13062
金融国际14,30.454417,114.381643,12566,121.54,96.72,3室1厅,28,4175,13118,11681
汉口小区6,30.617479,114.249161,17479,116.03,66.38,2室1厅,53,4183,17391,15819
东西广场7,30.621809,114.129365,8635,60.01,69.49,2室1厅,273,849,8386,8469
后湖名邸7,30.65116,114.266512,10886,99.81,91.69,3室1厅,40,1791,10667,10518
青山丽舍1,30.632622,114.379292,11950,164.01,137.24,4室2厅,1,4419,11486,11575
洪山新城2,30.543839,114.328547,23823,169.03,70.95,2室1厅,53,5252,24011,21471
光谷广场4,30.478329,114.409912,18705,147.6,78.91,2室1厅,72,7453,18003,17941
江夏名邸18,30.356058,114.323587,6656,69.62,104.58,3室1厅,216,1433,6289,6664
白沙广场4,30.483513,114.292566,10451,130.51,124.87,3室2厅,166,1168,11001,10456
武昌府邸9,30.530085,114.319987,18023,132.99,73.79,2室1厅,233,2447,18375,16843
青山花园13,30.630215,114.384487,10069,86.54,85.94,2室2厅,149,969,10205,9592
街道名邸3,30.530159,114.361135,20349,314.9,154.74,4室2厅,12,10216,21722,20110
武广翠湖10,30.592346,114.266658,25202,382.62,151.82,4室2厅,82,17041,24234,23113
盘龙阳光6,30.708197,114.244725,6907,56.48,81.77,2室1厅,129,500,6796,6670
光谷丽舍7,30.479953,114.412244,18407,152.38,82.78,2室2厅,60,5942,20049,16343
楚河新城16,30.550578,114.337016,27111,267.29,98.59,3室1厅,33,12412,27097,24211
后湖华府5,30.647874,114.266455,11464,95.72,83.49,2室2厅,187,1480,11347,10679
街道银座4,30.528018,114.359154,21997,207.3,94.24,2室2厅,47,6044,22071,19632
徐东里7,30.5813,114.348916,22201,339.52,152.92,4室2厅,76,12043,23679,20312
中南华府17,30.480428,114.370807,19290,249.98,129.59,3室2厅,237,9560,19452,18516
青山公寓7,30.632154,114.382863,10628,85.76,80.68,2室2厅,3,2194,10495,10551
中南花园10,30.483936,114.370296,15576,212.23,136.25,4室2厅,138,5902,15993,13331
中南雅苑9,30.481019,114.368721,15281,148.07,96.89,3室1厅,379,5970,15446,14631
徐东丽舍18,30.582689,114.347552,14936,97.62,65.36,2室1厅,18,3053,15067,14305
南湖国际9,30.495132,114.326828,11868,137.06,115.47,3室2厅,1,4220,12194,10513
钟家银座8,30.552704,114.26227,14037,112.17,79.91,2室1厅,23,3412,14243,13404
后湖名邸16,30.650917,114.27162,14949,210.98,141.12,4室2厅,169,6768,14447,13315
中南阳光16,30.478655,114.369777,13914,130.84,94.03,3室1厅,93,3177,14520,12793
关山华府16,30.505008,114.397017,20900,203.94,97.58,3室1厅,61,7228,21288,19797
金融花园9,30.454414,114.382007,15582,128.75,82.62,2室2厅,155,4849,15844,14786
白沙里8,30.477216,114.289469,11890,175.0,147.18,4室2厅,961,2961,11381,11586
盘龙府邸1,30.713888,114.241484,7163,62.78,87.63,2室2厅,393,1009,7606,6771
徐东名邸9,30.580841,114.347855,20609,193.5,93.89,2室2厅,1,7385,21157,20163
楚河中心2,30.551423,114.339393,28627,144.65,50.53,1室1厅,33,6200,28042,25691
中南广场17,30.481923,114.37335,14063,216.27,153.78,4室2厅,72,6877,13473,13153
四新中心6,30.517666,114.262231,0,149.54,128.45,3室2厅,73,2801,11705,10806
关山雅苑12,30.503285,114.392161,21737,143.18,65.87,2室1厅,80,6612,22081,19531
汉口翠湖18,30.618676,114.247476,15128,181.18,119.76,3室2厅,182,5945,15306,14822
关山金座17,30.506265,114.393613,23127,245.59,106.19,3室2厅,42,11545,23067,21562
关山里13,30.503684,114.397663,20721,264.54,127.66,3室2厅,41,10903,20264,19759
沌口小区3,30.47868,114.164523,10392,106.99,102.95,3室1厅,10,1942,10634,10399
四新雅苑5,30.518747,114.261965,11978,97.39,81.3,2室1厅,129,1543,12047,11867
街道中心19,30.530959,114.361483,21466,252.46,117.61,3室2厅,62,9634,22795,20671
钟家银座15,30.547784,114.264036,16144,117.53,72.8,2室1厅,99,2431,15901,16125
武昌名邸7,30.530484,114.321993,16285,167.45,102.82,3室1厅,6,5073,16524,14826
武广山庄5,30.590309,114.26871,23995,258.66,107.79,3室1厅,1,9402,25173,22609
钟家中心19,30.549885,114.262416,17075,161.91,94.83,3室1厅,6,5798,16565,15224
洪山中心17,30.544832,114.332934,18972,235.81,124.29,3室2厅,50,9791,17943,18123
中南府邸15,30.482171,114.369244,14780,144.14,97.52,3室1厅,61,4808,14946,14574
徐东苑14,30.577592,114.347733,17325,153.77,88.75,2室2厅,16,6453,17750,14991
东西中心7,30.617973,114.135104,7359,58.69,79.75,2室1厅,10,851,7306,6952
光谷广场19,30.481229,114.409133,18928,138.0,72.9,2室1厅,56,4943,18741,16693
江夏银座16,30.346905,114.32013,8046,67.51,83.9,2室2厅,12,1481,8534,7431
汉口小区8,30.620686,114.250863,19874,230.51,115.98,3室2厅,19,8765,19645,19129
四新国际7,30.517477,114.257613,9586,79.93,83.37,2室2厅,153,1648,9341,9312
汉口中心13,30.617671,114.248191,15463,128.6,83.17,2室2厅,7,4355,15399,14272
徐东新城6,30.579666,114.350137,22458,201.06,89.52,2室2厅,51,8066,23312,21880
东西国际4,30.625178,114.129103,9351,87.27,93.32,3室1厅,102,1431,9597,8786
东西广场7,30.617328,114.131849,9061,79.46,87.69,2室2厅,58,1162,9478,8608
金融花园9,30.45378,114.384805,17370,164.94,94.95,2室2厅,68,3124,17667,16376
后湖雅苑11,30.647436,114.271267,11825,131.29,111.02,3室2厅,25,3728,11950,11217
街道阳光13,30.529009,114.364512,17843,139.6,78.23,2室1厅,62,5513,17988,16843
楚河府邸19,30.551712,114.341891,26882,213.04,79.25,2室1厅,0,9254,27108,25239
汉口山庄16,30.616726,114.247378,16787,135.46,80.69,2室1厅,25,3357,16558,15217
南湖山庄18,30.493729,114.331293,15469,105.12,67.95,2室1厅,137,2559,15528,14838
青山新城5,30.633035,114.382087,9601,110.55,115.15,3室2厅,129,1999,9925,9203
洪山国际9,30.54485,114.327703,22390,329.33,147.09,4室2厅,80,13846,22650,23340
南湖里16,30.494796,114.326617,13259,128.76,97.11,3室1厅,14,2485,13683,13119
关山阳光17,30.505259,114.392129,19811,170.97,86.3,2室2厅,39,6416,19790,18631
关山中心10,30.50541,114.39159,22143,249.51,112.68,3室2厅,117,9683,23120,20524
盘龙金座17,30.712424,114.239288,8036,63.31,78.78,2室1厅,485,1149,8223,7926
武昌家园4,30.52911,114.320723,15971,140.1,87.72,2室2厅,99,3774,16325,14578
后湖公寓2,30.647969,114.27489,13535,115.26,85.16,2室2厅,8,2901,13559,12683
江汉家园5,30.58268,114.274867,21479,195.64,91.08,3室1厅,0,8962,21087,18961
青山小区13,30.626957,114.378197,10375,64.82,62.47,1室1厅,75,1413,10089,10817
江夏翠湖4,30.35013,114.317235,6885,62.48,90.75,2室2厅,114,1258,7026,6778
武昌苑18,30.531227,114.325545,13087,139.3,106.44,3室1厅,103,3100,12747,12803
街道府邸4,30.529772,114.356306,20255,186.05,91.85,3室1厅,56,5413,20364,18588
武昌小区16,30.529093,114.324923,12271,107.12,87.29,2室2厅,200,3356,12853,11306
中南翠湖6,30.481662,114.372281,16777,146.68,87.43,2室2厅,18,3546,17103,16664
钟家国际10,30.548266,114.263388,14084,140.74,99.93,3室1厅,244,2781,14420,13136
钟家国际17,30.553478,114.265205,15302,63.0,41.17,1室1厅,14,1806,15632,14534
中南府邸2,30.480265,114.373318,15512,144.21,92.97,3室1厅,78,2867,16198,14562
关山翠湖17,30.505559,114.393993,26698,218.28,81.76,2室2厅,63,8592,26923,25536
南湖新城10,30.494389,114.3253,13309,90.9,68.3,2室1厅,131,2167,13564,12362
洪山小区11,30.548034,114.329669,21369,264.6,123.83,3室2厅,8,9714,20854,19757
钟家广场19,30.554733,114.267143,15667,198.3,126.57,3室2厅,3,5440,15455,15361
洪山府邸13,30.546887,114.330955,22551,188.31,83.5,2室1厅,1,7746,22300,21070
关山中心13,30.504788,114.394888,28251,267.82,94.8,2室2厅,3,14939,28644,27807
盘龙小区13,30.709566,114.243411,7121,73.82,103.65,3室1厅,38,1141,7070,7064
汉口银座7,30.616936,114.254221,17457,210.9,120.81,3室2厅,82,5136,17423,16879
街道小区5,30.529992,114.357516,21096,101.48,48.1,1室1厅,128,3321,22067,19971
关山苑11,30.503897,114.395569,21030,220.95,105.06,3室2厅,6,8466,20620,19687
白沙阳光11,30.484838,114.296647,9625,109.35,113.61,3室2厅,18,2150,9316,9465
楚河府邸11,30.553051,114.339411,0,196.45,84.69,2室2厅,10,8235,23995,20498
关山府邸7,30.508394,114.390989,21300,205.86,96.65,3室1厅,86,9731,22194,20538
四新山庄13,30.515766,114.260573,9899,129.26,130.57,4室2厅,50,3609,9878,9698
武广家园7,30.588196,114.266441,26427,233.59,88.39,2室2厅,8,11005,27683,21983
白沙新城12,30.47929,114.284455,9812,88.46,90.15,3室1厅,535,1157,9820,9038
武广新城17,30.592298,114.266186,21670,180.89,83.47,2室1厅,33,7015,21606,20494
白沙阳光16,30.485462,114.287135,10218,82.35,80.6,2室2厅,149,1697,10108,9775
中南府邸19,30.480841,114.370321,17454,175.88,100.76,3室1厅,20,2896,16745,16906
武昌春天6,30.529796,114.32232,13990,114.4,81.77,2室2厅,104,2920,13680,13992
街道阳光8,30.524976,114.354833,17886,168.03,93.94,2室2厅,31,6335,17916,16799
武广阳光13,30.591547,114.261616,22817,213.77,93.68,3室1厅,84,9249,21515,21027
青山山庄1,30.628497,114.379328,13001,107.98,83.06,2室2厅,50,3120,12387,12813
白沙金座15,30.474557,114.288866,9740,101.92,104.63,3室1厅,39,2168,9755,9692
武昌广场10,30.529659,114.322457,0,155.82,106.7,3室1厅,62,3133,14566,13442
白沙府邸1,30.480397,114.289695,12657,98.47,77.79,2室1厅,365,2426,12230,11796
四新阳光9,30.518759,114.260677,14139,124.07,87.75,2室2厅,70,1623,14330,14599
关山春天4,30.507153,114.39083,17539,155.87,88.86,2室2厅,1,7282,17554,17588
光谷金座10,30.483567,114.409307,19670,158.58,80.62,2室2厅,22,5300,19008,17712
后湖花园1,30.647383,114.266263,12436,146.64,117.91,3室2厅,16,1625,13070,12291
武昌华府10,30.528647,114.319952,17436,203.54,116.73,3室2厅,74,5306,17744,17966
钟家国际11,30.550276,114.265205,16857,176.49,104.7,3室1厅,265,5045,17510,16229
南湖苑12,30.497052,114.330984,14785,191.92,129.8,4室2厅,42,4435,14834,14175
东西翠湖11,30.62193,114.133364,0,77.06,94.12,3室1厅,152,1623,8741,8626
街道银座14,30.530889,114.360356,22336,173.27,77.57,2室1厅,69,6382,22656,20372
光谷国际9,30.481708,114.408192,18174,138.25,76.07,2室1厅,54,6750,18968,17495
白沙苑19,30.478682,114.289931,13328,145.05,108.83,3室1厅,122,2352,13748,13668
四新家园9,30.521455,114.261624,11725,180.48,153.92,4室2厅,85,3620,12315,11815
四新苑8,30.515998,114.26457,12570,84.15,66.94,2室1厅,132,1306,12527,11390
盘龙雅苑17,30.710917,114.242155,6096,74.06,121.47,3室2厅,1,1558,6329,5844
洪山广场19,30.541021,114.332764,21077,174.79,82.93,2室1厅,7,7800,21184,19734
南湖阳光11,30.497182,114.328676,11531,117.61,101.99,3室1厅,30,3151,11631,11243
关山金座6,30.502561,114.395287,22549,158.73,70.39,2室1厅,57,6732,22011,20945
武昌国际18,30.529509,114.318961,18526,210.17,113.45,3室2厅,248,5219,18457,17865
盘龙苑2,30.714478,114.241651,6759,46.85,69.31,2室1厅,25,580,6907,6730
武昌里9,30.53164,114.320729,16124,118.23,73.32,2室1厅,111,3598,16529,15579
中南华庭11,30.475404,114.370368,16075,173.51,107.93,3室1厅,146,4706,15957,15901
光谷春天2,30.480097,114.410275,17454,240.65,137.87,4室2厅,8,10653,17719,16778
光谷名邸11,30.477675,114.414708,16177,136.77,84.54,2室2厅,70,4713,16982,14647
东西小区7,30.615555,114.129276,7676,77.59,101.08,3室1厅,70,1288,7703,7675
街道翠湖11,30.532345,114.35938,18229,147.22,80.76,2室1厅,18,4343,18221,17294
关山山庄13,30.506068,114.396465,23205,173.76,74.88,2室1厅,23,6694,23927,22364
